ImdbID,Name,Runtime,ReleaseDate,OriginCountries,Languages,Genres,Rating,Plot
tt33396660,Bahirbhoomi,,2024-10-04,['India'],['Telugu'],"['Mystery', 'Thriller']",5.6,"In the film, a series of murders occurs within the family of the village leader. Their servant inadvertently kills an individual and is apprehended by the authorities."
tt20048582,Canary Black,01:41:00,2024-10-24,"['United Kingdom', 'United States', 'Croatia']",['English'],"['Action', 'Drama']",5.3,It follows Avery Graves as she is blackmailed by terrorists into betraying her own country to save her kidnapped husband.
tt22874848,The Silent Hour,01:39:00,2024-10-11,"['Malta', 'United States', 'Canada']",['English'],"['Action', 'Crime', 'Thriller']",6.0,A detective with hearing loss and a deaf witness to a murder must lean on each other to outsmart killers they can't hear coming when cornered in an abandoned apartment block.
tt30217143,Trouble,01:38:00,2024-10-03,['Sweden'],['Swedish'],"['Drug Crime', 'Action', 'Comedy', 'Crime']",6.1,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter."
tt32856857,Chitti - Potti,02:30:00,2024-10-03,['India'],['Telugu'],"['Drama', 'Family']",9.2,",, Chitti Potti is a touching film that beautifully portrays the brother-sister relationship and the deep-rooted Telugu affections and emotions. Spanning three generations, the story highlights the love and affection of a younger sister, older aunts, and a grandmother, showcasing the immense value of a girl child in every home."
tt27987046,Uprising,02:06:00,2024-10-11,['South Korea'],"['Korean', 'Japanese']","['Action', 'Drama', 'History', 'Thriller', 'War']",6.6,"In the Joseon Dynasty, two friends who grew up together, one the master and one the servant, reunite post-war as enemies on opposing sides."
tt9860566,Brothers,01:29:00,2024-10-17,['United States'],['English'],"['Dark Comedy', 'Action', 'Comedy', 'Crime']",5.4,"Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction."
tt15333544,Happily Married,01:30:00,2024-09-28,['India'],['Kannada'],['Thriller'],8.3,"The film is, ironically, about the breakdown of a marriage that began with love. Although the skillful blending of the mystery and relationship drama revolves around the couple, a motley bunch of characters keep cropping up, saying and doing bizarre things that may not always make sense, but as the plot unfolds, it all transforms into a psychological game of 'what' an... Read all"
tt26758372,Meiyazhagan,02:57:00,2024-09-27,['India'],['Tamil'],"['Drama', 'Family']",8.4,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.
tt27729779,The Platform 2,01:39:00,2024-10-04,['Spain'],['Spanish'],"['Dystopian Sci-Fi', 'Horror', 'Sci-Fi', 'Thriller']",5.0,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity."
tt31450182,Amber Alert,01:30:00,2024-09-27,['United States'],['English'],['Thriller'],5.9,A ride-share turns into a high-stakes game of cat and mouse after it follows a car fitting the description of an AMBER ALERT.
tt33355888,Vindicating Trump,01:36:00,2024-09-27,['United States'],['English'],['Documentary'],3.9,"Dinesh D'Souza examines the challenges faced by Donald Trump, including political opposition, legal battles, and an alleged assassination attempt, during his bid to return to the presidency."
tt28631109,Dharmaveer 2,02:10:00,2024-10-25,['India'],"['Marathi', 'Hindi']","['Biography', 'Documentary', 'Drama']",7.2,"Explores Anand Dighe's life, tracing his political journey and capturing the essence of his impactful legacy as a prominent figure."
tt23723678,Sattam En Kaiyil,02:04:00,2024-09-27,['India'],['Tamil'],"['Crime', 'Horror', 'Thriller']",8.6,"An accident leads Gowtham to conceal a body in his car. Arrested for drunk driving, his impounded vehicle at the police station holds the hidden corpse. Complications ensue, compelling him to find an escape from the perilous circumstances."
tt20452454,Binny and Family,02:20:00,2024-09-27,['India'],"['English', 'Hindi']",['Drama'],8.2,Rebellious teenage Binny and her conservative grandfather from Bihar connect after a dramatic incident. Can the contrasting personalities bridge generational gaps and impact each other's lives?
tt27419292,Killer Heat,01:37:00,2024-09-26,['United States'],"['English', 'Greek']","['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",5.6,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective."
tt11821912,Devara Part 1,02:56:00,2024-09-26,['India'],"['Telugu', 'Tamil', 'Malayalam', 'Kannada']","['Action Epic', 'Action', 'Drama', 'Thriller']",6.4,"An epic action saga set against coastal lands, which briefs about rip-roaring ,emotionally charged incidents in the periodic timeline, also comprises the titular protagonist being the rescuer to deprived and fear to evildoers."
tt23218054,A True Gentleman,01:50:00,2024-09-26,['Turkey'],['Turkish'],"['Drama', 'Romance']",4.5,It follows a gigolo as he falls in love with a young girl.
tt10245072,Salem's Lot,01:54:00,2024-10-03,['United States'],['English'],"['Vampire Horror', 'Horror', 'Thriller']",5.6,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire."
tt33058713,Jailbreak: Love on the Run,01:28:00,2024-09-25,['United States'],['English'],"['Crime', 'Documentary']",6.4,"When Vicky White, a highly respected corrections officer, aids the escape of a violent felon nearly twenty years her junior, it reveals an unexpected love story amidst the ensuing high-profile manhunt and media frenzy."
tt28821371,MadS,01:26:00,2024-10-18,['France'],['French'],"['Teen Horror', 'Zombie Horror', 'Horror', 'Thriller']",6.5,"A teenager who stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn."
tt21097192,Die Alone,01:31:00,2024-10-18,"['Canada', 'United States']",['English'],"['Horror', 'Thriller']",5.6,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
tt21830836,House of Spoils,01:41:00,2024-10-03,['United States'],['English'],"['Horror', 'Thriller']",5.0,"It tells the story of a chef who opens her first restaurant where she battles kitchen chaos, a dubious investor and self doubt, but the pressure heats up thanks to the spirit of the estate's previous owner who threatens to sabotage her."
tt14371860,Apartment 7A,01:47:00,2024-09-27,"['United States', 'Australia', 'United Kingdom']",['English'],"['Psychological Horror', 'Psychological Thriller', 'Horror', 'Thriller']",5.8,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame."
tt27007466,Lubber Pandhu,02:26:00,2024-09-20,['India'],['Tamil'],"['Comedy', 'Drama', 'Sport']",8.4,"Set against the rural backdrop, explores gully cricket stars Gethu and Anbu's intense rivalry. Anbu's romantic involvement with Gethu's daughter escalates the clash. Their skills and emotions are put to the ultimate test."
tt14056466,Yudhra,02:22:00,2024-09-20,['India'],['Hindi'],"['Action', 'Drama', 'Thriller']",5.8,"A young man consumed by vengeance, Yudhra infiltrates a ruthless cartel to avenge his murdered parents, only to discover a dark truth about his past that will test his limits."
tt33298423,Nandhan,01:50:00,2024-09-20,['India'],['Tamil'],['Drama'],8.3,"When a village panchayat gets classified as a reserved one, an affluent upper-caste ex-president makes his oppressed house help the new president in order to retain power"
tt33088719,Hide N Seek,02:14:00,2024-09-20,['India'],['Telugu'],['Horror'],9.1,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama."
tt33245905,Kahan Shuru Kahan Khatam,01:47:00,2024-09-20,['India'],,"['Comedy', 'Romance']",7.0,"A commitment-phobic woman refuses to marry the man her parents have chosen for her. Chaos ensues as she tries to escape the wedding while the groom and his family chase her down, leading to a hilarious and cringe-worthy comedy of errors."
tt33396241,100 Crores,,2024-09-20,['India'],['Telugu'],['Action'],6.6,"When Sundarlal finds out about an IT Raid on his properties, he hides 100 Crores in his bungalow. But when he can't find the money and dies in shock. Where did the money go? Was is stolen?"
tt28635681,Gorre Puranam,01:43:00,2024-09-20,['India'],['Telugu'],['Drama'],5.3,"A sheep named Ram dreams of reaching a perfect spot, it has long admired from a hilltop. But faces turmoil upon arrival. Imprisoned, it meets Suhas, an inmate. Their intertwined fates navigate conspiracies and fight for freedom."
