ImdbID,Name,Directors,OriginCountries,Languages,Genres,Rating
tt20420628,Freud's Last Session, Matt Brown ," Ireland, United Kingdom, United States "," English, German, Hebrew ", Drama ,6.1
tt23043386,Organic Mama Hybrid Alludu," S.V. Krishna Reddy, Eswar Surapu ", India , Telugu , Action ,4.1
tt21191906,After Death," Stephen Gray, Chris Radtke ", United States , English , Documentary ,6.4
tt33298502,Black, Balasubramani KG , India , Tamil , Thriller ,7.2
tt11887316,The Teacher Who Promised the Sea, Patricia Font , Spain ," Spanish, Catalan ", Biography Drama ,7.4
tt32843331,Janaka Aithe Ganaka, Sandeep Reddy Bandla , India , Telugu , Drama ,9.4
tt28477867,Lego Marvel Avengers: Code Red, Ken Cunningham , United States , English , Computer Animation Superhero Action Adventure Animation Comedy Family Sci-Fi ,5.4
tt26936666,Vettaiyan, T.J. Gnanavel , India ," Tamil, Telugu, Hindi, Kannada, Malayalam ", Cop Drama One-Person Army Action Action Crime Drama ,7.9
tt14189076,Declaration, Mahesh Narayanan , India , Malayalam , Drama ,6.4
tt23846874,Sajini Shinde Ka Viral Video," Mikhil Musale, Javed Karim ", India , Hindi , Crime Mystery Thriller ,6.2
tt21279138,Maid in Malaca̱ang, Darryl Yap , Philippines ," Tagalog, Filipino ", Biography Drama ,3.8
tt29892095,Girl Haunts Boy, Emily Ting , United States , English , Fantasy Romance ,6.3
tt26786629,Time Bomb Y2K," Brian Becker, Marley Mcdonald ", United States , English , Documentary ,6.2
tt21195548,Buba, Arne Feldhusen , Germany , German , Dark Comedy Comedy Drama ,5.9
tt32916093,Mr. Crocket, Brandon Espy , United States , English , Horror ,5.4
tt11879338,Tasleem Ahaly, Khaled El Halafawy , Egypt , Arabic , Comedy Thriller ,6.5
tt26733317,Jigra, Vasan Bala , India , Hindi , Action ,7.4
tt26682012,Daddy's Head, Benjamin Barfoot , United Kingdom , English , Folk Horror Horror ,5.7
tt29299059,Mandali, Rakesh Chaturvedi Om , India , Hindi , Drama ,8.3
tt15552142,Caddo Lake," Logan George, Celine Held ", United States , English , Drama Mystery Thriller ,6.9
tt29606533,Lingoccha, Anand Bada , India , Telugu , Comedy Drama Romance ,7.4
tt15502716,Richie Gadi Pelli," K.S. Hemraj, M.Summanth ", India , Telugu , Comedy Drama Musical Romance ,7.6
tt33057454,Karma, Anupam Patnaik , India , Oriya , Action Mystery Thriller ,9.1
tt28608283,Dhimahi," Naveen Kante, Saahas Pagadala ", India , Telugu , Thriller ,7.8
tt24701840,Grandhalayam, Sai Shivan Jampana , India , Telugu , Mystery ,7.7
tt21222434,Sniper: Rogue Mission, Oliver Thompson , United States , English , Action Thriller ,4.7
tt33810459,Uruttu Factory, Sid Frequency , India , Tamil , Documentary ,9.2
tt26280696,Saachi, Vivek Pothagoni , India , Telugu , Drama ,7.1
tt33600145,Money Electric: The Bitcoin Mystery, Cullen Hoback , United States , English , Documentary ,6.7
